,City,NickName,Province,Sex,Signature
137,北海,阿宇,广西,男,
138,洛阳,温暖人心的风,河南,男,朱军峰
139,郑州,哈哈,河南,男,老婆，我爱你！
140,洛阳,暗夜丨阑珊,河南,男,
141,,小贝,,女,没有什么你不值得拥有
142,青岛,鹏程万里广告,山东,男,...
143,,何方,,男,forever  。。。 。。
144,深圳,陈平-爱知孩-爱之海,广东,男,爱之海：声乐儿歌动漫游戏；爱知孩：早教机器人母婴用品研发销售
145,洛阳,闻闻嗅嗅,河南,女,如今最好，没有来日方长。
146,商丘,周荣国,河南,男,路虽远，行者必至；事虽难，做者必成！
147,洛阳,宝霞,河南,女,15537980096
148,深圳,深华园艺,广东,男,深圳市深华园艺
149,深圳,快递达仁,广东,男,鹏
150,通州,梅花鱼,北京,男,www.guguan.ren
151,洛阳,Mr three,河南,男,踏实一些，不要着急，你想要的，岁月都会给你。
152,深圳,Lewis,广东,男,Actions speak louder than words 
153,张家口,A📹致尚视觉,河北,男,新的一年新的开始，努力努力在努力
154,洛阳,顽皮豹,河南,男,
155,,A🐾Rose,,女,酷的像风野的像狗，不招人爱倒也自由。
156,洛阳,王翊 平安金融13303882158,河南,女,办理车险，人身保险，贷款，证券，银行业务13303882158
157,中山,烟花易冷❇,广东,男,等着呢？
158,洛阳,邓双玲,河南,女,。。。。。。
159,洛阳,韩锋,河南,男,天道酬勤
160,揭阳,aewenter,广东,男,天降大任于斯人，必先苦其身，劳其筋，饿体肤，空乏身……
161,常德,做设计的老伙计_淼,湖南,男,部队内供酒出售
162,深圳,冒,广东,男,
163,洛阳,碧晴,河南,女,当你无所畏惧时，你会怎样
164,泉州,红,福建,女,
165,平顶山,西伯利亚狼,河南,男,
166,深圳,廖老师,广东,男,13332926356
167,洛阳,消防员,河南,男,风吹来，吹落天边昏黄的太阳
168,深圳,吉利吉祥盛      小曾,广东,男,不刷屏！
169,黄浦,Michael齐坤鹏,上海,男,人寿险、财产险，找工作可咨询我😀
170,上饶,🇨🇳完美人生-刘辉,江西,男,平时滴入一滴水，难时拥有太平洋
171,洛阳,A雪的絮影,河南,女,人生伟业的践行，不在能知，而在能行。
172,洛阳,萌动e族,河南,男,
173,深圳,守蕊人,广东,男,你若不离，我便不弃^_^
174,,支手之音,河南,男,
175,商丘,劉@震,河南,男,
176,深圳,栋梁里的蛀虫,广东,男,
177,洛阳,峰,河南,男,逝去的青春
178,深圳,勿忘心安,广东,男,不忘初心，方能始终。
179,洛阳,🔥MARS🔥,河南,男,低调做人，高调做事。
180,深圳,fogman,广东,男,
181,孝感,雪羽飞扬,湖北,女,风轻轻吹……
182,孝感,黄呵呵,湖北,男,Give me five
183,洛阳,石莉（国家一级理财规划师),河南,女,您身边的理财专家，联系电话13838850648
184,,程,,不明性别,
185,西安,刘创,陕西,男,
186,浦东新区,志豪,上海,男,
187,洛阳,芷-_-:)牵挂,河南,女,手机号18001924550
188,郑州,希🤗,河南,女,非淡泊无以明志，非宁静无以致远。
189,深圳,韦艳菊(Grape),广东,女,选择比努力更重要。
190,广州,狅野风暴,广东,男,有了爱就有了一切！
191,,三年🔥,山东,男,
192,永州,龙卷风,湖南,女,
193,毕节,VinceTso,贵州,男,
194,洛阳,浩哥,河南,男,
195,洛阳,细水长流,河南,女,若是美好，叫做精彩；若是糟糕，叫做经历。
196,洛阳,柳佳,河南,女,愿你的青春不负梦想，愿你活成想要的样子，你的坚持，终将美好！
197,Port Lincoln,蔚海波,South Australia,男,其实很多时候都是徒劳无功的
198,洛阳,花儿18003884692,河南,女,
199,深圳,陈晋桥,广东,男,人生重要的不是努力，而是方向！
200,,张树鹏,上海,男,男人因孤独而优秀！
201,深圳,A朗朗A,广东,男,自信，淡定，
202,昌平,海阔天空,北京,男,
203,,花门花信,,男,你永远不知道爱你的人在为你胡思乱想的时候有多难受！
204,,海阔天空,,不明性别,海阔天空
205,洛阳,爱我所爱,河南,男,生活就像海洋，只有意志坚强的人，才能游到彼岸！
206,三门峡,王欣,河南,男,
207,,刘静,,女,
208,金华,韩芘旗舰店,浙江,女,返现的直接联系我哦，有时候在忙可能回复有些慢
209,十堰,奋斗,湖北,男,
210,洛阳,落微,河南,女,安放一帘清梦，相伴清宁时光。
211,赣州,我就想看看名字能够有多长,江西,男,Miss
212,海淀,刘旭,北京,男,2017，新的开端，努力工作！
213,长春,o(´^｀),吉林,男,。
214,洛阳,杨彦忠,河南,男,
215,深圳,bey,广东,男,人生在世，本心要拎得清楚
216,,播妞,,女,想要学习资料嘛，找我就对了
217,信阳,董继,河南,男,
218,深圳,桂桂,广东,女,哦里
219,,→_→,,男,
220,洛阳,宋慧玲,河南,女,
221,洛阳,木头人,河南,男,
222,广州,大兵,广东,男,不要为失败找借口，而要为成功先出路……
223,长沙,@@,湖南,男,宁愿哭着一路向前，也不愿笑着错失良机
224,洛阳,自由行走的花,河南,女,
225,洛阳,邵开,河南,男,人之所以痛苦，在于追求错误的东西。
226,洛阳,莲心,河南,女,平安是福
227,浦东新区,℡简单、可依赖,上海,男,阳光那么好、何必自寻烦恼--
228,深圳,bu~diu,广东,女,愿你笑靥如花，生活充满阳光和香气.sl
229,,🍒恬淡,,不明性别,无心恰恰用，用心恰恰无
230,邵阳,华仔天地,湖南,男,一个人的故事
231,深圳,云冲,广东,男,18118768802录音棚，新萌力音乐、非洲鼓、尤克里里，亲子课
232,深圳,Apple,广东,女,学舞蹈，美术，语言表演，器乐来腾飞艺术。做有态度的艺术机构！
233,朝阳,薛国良,北京,男,
234,,明天会更好,,男,你需要有严谨的纪律性！
235,昆明,廧壡琞,云南,男,宝贝，我爱你！么么哒！
236,,创鑫时代旗帜部罗建,,男,
237,,Loui,,男,
238,大兴,水墨丹青,北京,男,诸般勤劳都有益处，嘴上多言乃至贫穷。
239,深圳,aurth,广东,男,日光之下，再无新事
240,洛阳,王彬,河南,男,
241,朝阳,young,北京,男,以诚待人
242,,秋风悲画扇@,,女,从前慢
243,Brevard County,星艺装饰余小吉,Florida,女,
244,,雪绒花,,女,诚心待人，用心做事！
245,广州,琉檬菇凉,广东,女,
246,长宁,乐乐,上海,女,充实就是生活……
247,黄石,Huang小佩,湖北,女,
248,福州,孟德强,福建,男,如果可以，我希望我们都会变得强大，然后选择做一个温柔的人。
249,衡阳,清风,湖南,男,
250,松江,信号旗,上海,男,变化
251,苏州,飞,江苏,男,飞
252,,MT,,男,挺好的。
253,洛阳,不要被过去牵绊,河南,女,"<span class=""emoji emoji1f60a""></span><span class=""emoji emoji1f60a""></span><span class=""emoji emoji1f60a""></span><span class=""emoji emoji1f60a""></span><span class=""emoji emoji1f60a""></span><span class=""emoji emoji1f60a""></span>"
254,,bird,,女,爱出者爱返，福往者福来！
255,洛阳,Ronaldinho,河南,男,终有若水替沧海，再把相思寄巫山。
256,洛阳,青一蝠王,河南,男,犹豫     勇气
257,深圳,官官官官晴,广东,女,
258,黄浦,清风徐来,上海,男,
259,,榿西,,女,只有知道如何停止的人，才知道如何加快速度
260,潮州,黄大涵、,广东,男,。
261,广州,垰菲斯（Carina）,广东,女,"嫁
给
爱
情
才
是
最
幸
福
的
样
子
！"
262,周口,张俊杰,河南,男,愿你走出半世，归来仍是少年。
263,洛阳,SMILE2U,河南,男,what do you believe
264,深圳,华夏信用卡，贷款彭振,广东,男,真诚待人，认真做事
265,洛阳,苹果🍏,河南,女,"呵呵！<span class=""emoji emoji1f63b""></span><span class=""emoji emoji1f63b""></span><span class=""emoji emoji1f63b""></span>"
266,,陈宁(小),,不明性别,
267,洛阳,洛阳辉美电磁加热生产商,河南,女,
268,洛阳,梁  毅,河南,男,家有小孩，选一加一天然面粉
269,西安,叶林,陕西,男,
270,洛阳,张俊海,河南,男,
271,洛阳,Tian,河南,男,权，然后知轻重；度，然后知长短。物偕然，心为甚。
272,中山,生活本应有梦,广东,女,夕阳无限好，努力挣大钱。
273,杭州,设计\Hexi聪,浙江,男,爱设计更爱小燕子
274,,人事 江小姐 💋,Tipperary,女,"小仙女 诚信买卖，诚招代理<span class=""emoji emoji1f497""></span>"
275,深圳,Wuli👄雯雯,广东,女,亲爱的，你要努力，你想要的，要你自己给自己
276,深圳,薇雨斜阳,广东,女,向日葵一样的人生，阳光灿烂。
277,洛阳,光大银行信用卡,河南,男,免费办理光大信用卡
278,房山,九思👒,北京,男,九思：思明、思聪、思温、思恭、思忠、思敬、思问、思难、思义。
279,,王振枫,Salzburg,男,
280,浦东新区,胡永杰,上海,女,以平常心，待人，待物。愿人生只是如初见。
281,珠海,Miki 青猫,广东,女,不想当运营的采购不是好的创业者
282,洛阳,晨雨微醺,河南,女,
283,海淀,王艺博,北京,男,还有很长的路要走，还有很多梦想要实现
284,深圳,阿涛,广东,男,
285,烟台,草之魂,山东,男,多幸运
286,泸州,杨帆,四川,女,永不消沉知难而上。
287,洛阳,考试书店,河南,男,今天更努力
288,沈阳,蒋金哲,辽宁,男,
289,邵阳,Yuan-涛,湖南,男,ξ拼的真是年轻？
290,深圳,Gang Yi,广东,男,努力工作，认真生活。平淡是真，安稳是福。
291,,流年似水,,男,过往不恋，未来不迎，当下不负，如此安好
292,,マ雪音メ,,不明性别,
293,洛阳,京都医疗,河南,男,癌症只是一类与冠心病、糖尿病类似的慢性病。
294,,尚上广告传媒 何淳勇18079570864,Cork,男,
295,宁波,韩小兵号满加44000207,浙江,男,精力有限，暂不提供免费咨询，理解万岁
296,无锡,sundatey,江苏,女,一切都是最好的安排
297,广州,尧,广东,男,一天比一天累，时间不够用
298,,轩奶奶,,不明性别,爱跳舞健康美丽大姐
299,深圳,A音乐黄老师,广东,男,
300,芜湖,张成,安徽,男,......
301,杭州,Syliva,浙江,女,灵魂香气
302,深圳,东风华艺音乐培训中心,广东,女,专业音乐培训声乐，吉他，钢琴，古筝小提琴等，电话13928485976
303,洛阳,^_^低调(^ ^),河南,男,
304,厦门,为人民服务,福建,男,
305,,茶花,,男,艺术以自我意识为中心，设计以市场需求为中心
306,深圳,开心的笨小孩,广东,男,有理想在的地方，地狱就是天堂；有希望在的地方，痛苦也成欢乐。
307,郑州,鹰击长空,河南,男,13603964049
308,深圳,李达,广东,男,
309,佛山,沉默,广东,男,曾经的承诺如过往云烟，火柴最为美丽的时候是他它燃烧的哪一瞬间
310,朝阳,月上海棠,北京,男,这不经意的片段 是我预谋的偶然。。。。。。
311,石家庄,魔法师,河北,男,人生自信五百年
312,,随意,,男,
313,滨州,Lemon,山东,男,
314,深圳,陈宁,广东,男,爱，是一种能力。
315,南通,祁栎荣,江苏,男,
316,深圳,飞,广东,男,没经历不代表没经验！
317,,A🚗周先生,,不明性别,已婚
318,深圳,丑小鱼,广东,女,
319,静安,张小中,上海,男,人活着 就是要摭腾 建立自我 追求无我
320,,āáǎà,,男,
321,眉山,A鼎好数码18381199911,四川,男,高价回收全新 二手 手机 维修 刷机 解锁白条 花呗 信用卡取现
322,洛阳,隆兴驾校小坡,河南,男,
323,深圳,非一日之寒,广东,男,蓦然回首
324,深圳,😃,广东,男,谁又没有个故事呢？
325,洛阳,白银时代,河南,男,不能说的太多 学着天空一样沉默
326,深圳,nickle.   fly ,广东,男,相识就是缘
327,济南,隋永富,山东,男,
328,洛阳,洛阳---阿满,河南,男,最熟释的默生人，戏还要演下去吗?
329,,小倩,,女,踮起脚尖仰望漫天飞舞的飘雪
330,东莞,A0-温晓,广东,男,我是个迷途知返的小羊羔。。。
331,朝阳,周帅锋,北京,男,以诚相待
332,深圳,杨涛,广东,男,你若微笑  便是晴天
333,洛阳,杨阳,河南,男,
334,,龙龙,,不明性别,
335,洛阳,中国太平王莉13598458815,河南,女,知佛法得开心果。保险是科学的慈善制度，太平吉祥！
336,深圳,ET,广东,男,待如果那个人值得我珍惜，我便会一往情深
337,丰台,Thinkgamer,北京,男,公众号：数据与算法联盟，欢迎关注，一起探讨技术，摄影，文字。
338,深圳,欧雅蛋糕店15361546738,广东,男,微信购买蛋糕更优惠，预订电话：15361546738
339,,堂妞,,女,要资料的小伙伴主动问我要一下，可能有时忙无法及时回复，望见谅
340,,夜梦星,,不明性别,
341,深圳,Voix7®  Wong,广东,男,常年开设：吉他 架子鼓 声乐 钢琴 尤克里里 小提琴 
342,信阳,จุ๊บ,河南,男,
343,东莞,张  超,广东,男,、珍惜眼前人
344,郑州,刺刺,河南,男,有一个夜晚，我烧毁了我所有的记忆，从此我的梦透明了
345,澎湖县,局长是我别开枪,台湾,男,取次花丛懒回顾，半缘修道半缘君
346,大连,可口不可乐133-2222-6056,辽宁,男,韩国、日本、加拿大、美国，新加坡等诸多国家工作及留学…13322226056
347,深圳,柯尊勇,广东,男,
348,太原,大胃王,山西,女,新的蜕变
349,深圳,KK～匡框 15517609095,广东,男,一切都是最好的安排…
350,深圳,Grace,广东,女,专注工作，纯粹生活
351,白银,徐梓超,甘肃,男,种一棵树的最佳时机无疑是在多年以前，其次，就是现在。
352,,被爱遗忘的人,,男,
353,,🍉,,男,，，，
354,洛阳,路人甲,河南,男,13962621794.13771425890
355,深圳,东风华艺罗湖总店邓老师,广东,男,"罗湖金光华音乐<span class=""emoji emoji1f3b5""></span>培训，培训项目:唱歌，钢琴，吉他，古筝乐器"
356,咸宁,Crazyay,湖北,女,
357,深圳,湛开慧😳,广东,男,
358,,纪亚强,重庆,男,
359,郑州,等等等,河南,女,简单
360,,nenny,,女,做人踏踏实实，做事认认真真…爱自己，爱生活
361,,曾顶天,,男,接受我沉痛的哀悼 也接受美好的祝福
362,宜春,程程🌺,江西,女,"<span class=""emoji emoji1f63d""></span>青春"
363,深圳,声乐周玉红,广东,女,13631539019 玉，琢而成器。
364,深圳,小米,广东,女,
365,九江,喻子青,江西,女,今天的收获是过去的结果。
366,西安,泡芙,陕西,女,夜再黑也总有天亮的一刻！
367,常州,Sky,江苏,男,忍耐克己
368,深圳,A财神到,广东,女,属于你的，没人能拿走；能拿走的，都不属于你……
369,深圳,🌛,广东,女,道里悠远，山川间之。
370,洛阳,潦草,河南,男,
371,永州,～专业0首付～宝捷车行～黄湘桂,湖南,男,懂得珍惜，才配拥有
372,汕尾,旋律,广东,女,因为有你关注的目光～我才得以前进
373,洛阳,荒岛,河南,不明性别,      偶尔对人生过敏
374,,张老师,,不明性别,
375,,巫妖王妃*^O^*,,女,毕业毕成狗
376,朝阳,魔法视觉学院,北京,男,
377,武汉,红豆酱,湖北,女,说不说一样！做不做是我的事
378,广元,Aoo  ㊗ 💼 🎉,四川,男,免佣代理深圳 惠州 中山 东莞 珠海一手楼 ，投资收购整栋农民房
379,洛阳,天涯,河南,男,爱石榴！
380,深圳,郑宝莲,广东,女,命中缺钱
381,深圳,Jason_Chan,广东,男,Zero To One！
382,Darwin,弈。,Northern Territory,男,人生就是一场荒芜的旅行。
383,东莞,雪佛兰陈小秋,广东,女,
384,深圳,你听我说.,广东,男,宁做风流狗，不做痴情种。
385,泸州,A0001联合共赢许茂13590194170,四川,男,心静一切都会好，迎难而上。
386,杭州,林,浙江,男,给我一张好脸，创造一个民族
387,洛阳,香香🌺,河南,女,
388,南京,黄博文的小迷妹,江苏,女,要勇敢~
389,,姣,,女,
390,洛阳,财神到18037626086(中信银行),河南,男,^_^
391,永州,云杉荣威~张石来13316561763,湖南,男,天道酬勤
392,孝感,林枫,湖北,男,我就是我
393,郑州,刘小炜,河南,女,我要过上自己想要的生活。
394,成都,下一秒,四川,女,还能笑的时候一定要笑，因为笑是最便宜的药。
395,广州,The Answer,广东,男,答长远，行更远。
396,海淀,石榴君,北京,女,
397,,傲逝灬流年,,不明性别,
398,,skylar🐋,,女,"Oh,captain,my captain!"
399,洛阳,Word骨头,河南,女,珍惜现在，不忘初心。
400,,领悟,,女,
401,广州,wty,广东,男,
402,佛山,美美,广东,女,"一个用心、一个执着。
用心的人改变自己、执着的人改变命运。"
403,深圳,解眉,广东,男,像我这样的人
404,深圳,Carina,广东,女,即使心里翻天覆地，也要装作一副淡然的样子。
405,,茵,Tyrol,女,
406,,感恩の心,,男,努力工作
407,洛阳,洛阳易迪教育王老师,河南,男,洛阳易迪教育工商劳动部门批准正规培训学校，专注资格证报考培训
408,金华,6塊腹肌小伙子℃,浙江,男,
409,洛阳,LY,河南,男,
410,商丘,A、残念,河南,男,扯淡得誓言，
411,洛阳,流水无情,河南,男,
412,,华,,男,男
413,太原,牵缘盟蝶,山西,男,梦
414,岳阳,子寒三水,湖南,女,戒骄戒躁
415,深圳,吉顺吉利汽车，小倪,广东,女,
416,深圳,A0比亚迪销售李钇威15976885610,广东,男,比亚迪唐、秦免摇号，直接上深圳牌，详情可致电联系:15976885610
417,洛阳,🌿王泰霖🌿益善堂足疗,河南,女,"<span class=""emoji emoji2665""></span>益善堂足疗养生店长期招聘足疗技师，养生技师<span class=""emoji emoji2665""></span>"
418,深圳,℡黄豆豆,广东,男,"人生路上这点痛，算什么，擦干泪，不要怕，至少我们还有梦<span class=""emoji emoji2665""></span>！"
419,邢台,时光有你,河北,男,十里春风不如你……
420,大连,时间都去哪了,辽宁,女,手机pos机，无需外置设备，费率低，免费安装，秒到账。
421,,男装,,男,亲点亮全5分截图噢，再发下订单编号或旺旺名，我们查看后3元红包
422,,好评截图发我，人多顺序发放，谢谢,,不明性别,请不要在旺旺上联系，晒图不要把卡片拍出来，非常感谢，万事如意
423,广安,A@.💏 顽皮的我顽皮的玩。,四川,女,红了眼。
424,惠州,Yoki      จุ๊บ,广东,男,"别

看

了

，

过

得

挺

好

的"
425,福州,郑梦玲,福建,女,
426,,Jason,,男,
427,深圳,勇敢的心,广东,男,爱情36计
428,,洁，韵,Paris,女,
429,深圳,东风华艺南山店陈老师,广东,男,0零基础唱歌，吉他，钢琴，古筝专业培训！18682397408陈老师
430,合肥,ZZ,安徽,男,
431,深圳,易盛文化传播有限公司,广东,男,吉他 尤克里里 ukulele 培训 销售
432,Port Lincoln,👀 🎥 找找Montage,South Australia,男,越努力，越幸运！
433,红桥,李明,天津,男,
434,深圳,Lee太后,广东,女,简单生活 平凡之路
435,洛阳,飞尘,河南,男,飞
436,黄浦,。林禾。,上海,女,样子妖娆 眼里有光 内心安详…
437,,铮铮铁骨,,男,真理即存在，存在即真理。
438,深圳,梁泽斯,广东,男,
439,,A000浙商银行陈炎兴,,男,
440,,L💗L。,,女,遇见的都是天意。 拥有的都是幸运。
441,盐城,陌离,江苏,女,从未奢求过什么，一直在努力。
442,深圳,春雨,广东,男,愿与你携手，散步黄昏下
443,成都,Embellishment,四川,女,
444,,学不会伪装,,女,有时候会感到莫名的伤感
445,长治,AA😃提线木偶,山西,男,
446,广州,养身馆紫琳,广东,女,
447,,明明,Kerry,男,
448,石家庄,嘉沃JW  常兵兵,河北,男,
449,,静,,不明性别,念起即觉，觉即不随
450,济南,亚杰房,山东,女,与人为善  处事谨慎
451,,深圳吃喝玩乐 乐乐,,不明性别,
452,长沙,up,湖南,男,"<span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span> <span class=""emoji emoji2600""></span>"
453,深圳,A-🎀吴雯🎀,广东,女,转角遇见＂＂𨚫改变不了曾经沧海的诺言
454,深圳,东风华艺罗湖总店〖中士〗,广东,男,深圳专业培训唱歌钢琴吉他古筝架子鼓乐器教学-13316965365
455,连云港,无颜N,江苏,女,美好时光
456,,Teresa,Paris,女,以梦为马，随处可栖
457,武汉,yuoboo,湖北,男,希望将来有那么一天，不再为了生活而出卖时间，Fighting！2016
458,杭州,YOU选郝经理,浙江,男,YOU选   郝经理   15611691234
459,衡阳,zippsun,湖南,男,愿每一天都过得有回忆！
460,,大咖🏁,Yamaguchi,男,只谈艺术，不懂政治。
461,邵阳,liuping,湖南,男,
462,洛阳,阳哥,河南,男,阳哥
